JRNL,YEAR,EST,NPAPR,NPVAL,JIF,OA,SUBJ
Oncology,2012,0.3516447917,794,488,2.165,0,ONC
Oncology,2013,0.2476560677,854,349,2.613,0,ONC
Oncology,2014,0.1710785668,926,455,2.422,0,ONC
Oncology,2015,0.3224455336,1233,394,2.152,0,ONC
Oncotarget,2011,0.0771643176,155,12,4.784,0,ONC
Oncotarget,2012,0.5291321392,186,21,6.636,0,ONC
Oncotarget,2013,0.5453823155,252,31,6.627,0,ONC
Oncotarget,2014,0.2662658179,1020,305,6.359,0,ONC
Oncotarget,2015,0.2719435813,3520,1271,5.008,0,ONC
Oral Oncol,2011,0.3593005669,288,275,2.857,0,ONC
Oral Oncol,2012,0.2945335646,293,293,2.695,0,ONC
Oral Oncol,2013,0.1685540542,238,183,3.029,0,ONC
Oral Oncol,2014,0.2661021012,261,154,3.607,0,ONC
Oral Oncol,2015,0.1701896566,230,199,4.286,0,ONC
Orphanet J Rare Dis,2011,0.0001605243,88,9,5.074,1,GEN
Orphanet J Rare Dis,2012,0.2849085819,109,38,4.315,1,GEN
Orphanet J Rare Dis,2013,0.2833280223,194,43,3.958,1,GEN
Orphanet J Rare Dis,2014,0.1006845229,214,87,3.358,1,GEN
Orphanet J Rare Dis,2015,0.2378818221,164,111,3.29,1,GEN
Patient Prefer Adherence,2011,0.2290113979,71,26,1.143,1,GEN
Patient Prefer Adherence,2012,0.1521393674,95,61,1.333,1,GEN
Patient Prefer Adherence,2013,0.1196575859,135,88,1.491,1,GEN
Patient Prefer Adherence,2014,0.0347027614,177,121,1.676,1,GEN
Patient Prefer Adherence,2015,0.195785712,200,206,1.718,1,GEN
Pediatr Hematol Oncol,2011,0.2748930728,110,70,0.891,0,GEN
Pediatr Hematol Oncol,2012,0.1493006459,109,58,0.895,0,GEN
Pediatr Hematol Oncol,2013,0.4130151224,134,99,0.963,0,GEN
Pediatr Hematol Oncol,2014,0.0524115056,130,107,1.096,0,GEN
Pediatr Hematol Oncol,2015,0.4162484551,76,84,1.09,0,GEN
PloS Med,2011,0.0573564783,201,79,16.269,1,GEN
PloS Med,2012,0.1928297551,206,100,15.253,1,GEN
PloS Med,2013,0.1304724052,218,63,14,1,GEN
PloS Med,2014,0.1954903876,189,140,14.429,1,GEN
PloS Med,2015,0.2402205082,153,97,13.585,1,GEN
Prev Med,2011,0.2425595294,293,164,3.216,0,GEN
Prev Med,2012,0.2395775139,328,214,3.496,0,GEN
Prev Med,2013,0.2511733061,351,222,2.932,0,GEN
Prev Med,2014,0.1156364426,412,167,3.086,0,GEN
Prev Med,2015,0.2089511393,358,159,2.893,0,GEN
Prostate Cancer Prostatic Dis,2011,0.3893560475,81,73,2.421,0,ONC
Prostate Cancer Prostatic Dis,2012,0.2914967796,78,70,4.811,0,ONC
Prostate Cancer Prostatic Dis,2013,0.1001638292,75,126,2.83,0,ONC
Prostate Cancer Prostatic Dis,2014,0.0994076287,67,146,3.425,0,ONC
Prostate Cancer Prostatic Dis,2015,0.3741570498,74,136,3.803,0,ONC
Psychooncology,2011,0.1369597279,346,254,3.339,0,ONC
Psychooncology,2012,0.292070125,347,262,3.506,0,ONC
Psychooncology,2013,0.3366258283,438,383,4.044,0,ONC
Psychooncology,2014,0.2207870735,322,263,2.443,0,ONC
Psychooncology,2015,0.2646373649,417,378,3.256,0,ONC
Radiat Oncol,2011,0.4271244869,181,223,2.321,1,ONC
Radiat Oncol,2012,0.209087169,226,262,2.107,1,ONC
Radiat Oncol,2013,0.3692976551,296,325,2.36,1,ONC
Radiat Oncol,2014,0.3448598758,300,405,2.546,1,ONC
Radiat Oncol,2015,0.3375153528,266,395,2.466,1,ONC
Radiol Oncol,2011,0.2974710644,49,30,0.912,1,ONC
Radiol Oncol,2012,0.3300777719,48,22,1.602,1,ONC
Radiol Oncol,2013,0.2154715431,54,24,1.667,1,ONC
Radiol Oncol,2014,0.4308533641,56,48,1.912,1,ONC
Radiol Oncol,2015,0.2692376251,58,53,1.736,1,ONC
Radiother Oncol,2011,0.1366920493,393,327,5.58,0,ONC
Radiother Oncol,2012,0.2974072726,301,221,4.52,0,ONC
Radiother Oncol,2013,0.2251672876,368,309,4.857,0,ONC
Radiother Oncol,2014,0.1892994182,344,311,4.363,0,ONC
Radiother Oncol,2015,0.2178681097,381,391,4.817,0,ONC
Surg Oncol,2011,0.2664713231,84,20,2.444,0,ONC
Surg Oncol,2012,0.381707253,74,27,2.136,0,ONC
Surg Oncol,2013,4.22060195859242E-09,48,33,2.367,0,ONC
Surg Oncol,2014,0.2989897681,42,30,3.27,0,ONC
Surg Oncol,2015,0.355155939,73,83,3.514,0,ONC
Target Oncol,2011,0.5853636677,29,5,3.614,0,ONC
Target Oncol,2012,0.8507717277,46,10,2.764,0,ONC
Target Oncol,2013,0.4195277209,65,43,3.458,0,ONC
Target Oncol,2014,0.2782934529,77,68,4,0,ONC
Target Oncol,2015,0.3306061143,56,34,3.197,0,ONC
Transl Oncol,2011,0.1718442422,44,23,3.393,1,ONC
Transl Oncol,2012,0.1392977224,61,41,2.943,1,ONC
Transl Oncol,2013,0.6119907941,89,56,2.558,1,ONC
Transl Oncol,2014,0.2345452732,98,86,2.884,1,ONC
Transl Oncol,2015,0.2042840951,61,78,3.077,1,ONC
Trials,2011,0.126769677,266,40,2.496,1,GEN
Trials,2012,0.300009385,245,19,2.206,1,GEN
Trials,2013,0.0959524511,448,29,2.117,1,GEN
Trials,2014,0.2808842446,511,41,1.731,1,GEN
Trials,2015,0.5638817271,601,61,1.859,1,GEN
World J Surg Oncol,2011,0.0981455235,173,103,1.12,1,ONC
World J Surg Oncol,2012,0.2951704319,279,258,1.092,1,ONC
World J Surg Oncol,2013,0.1701133813,312,299,1.2,1,ONC
World J Surg Oncol,2014,0.3739379662,406,503,1.408,1,ONC
World J Surg Oncol,2015,0.2614096125,336,386,1.286,1,ONC
